Name,Overs,Balls,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Match_Id
Nuwan Kulasekara,10,60,1,46,1,4.6,28,2,0,1,0,434258
Chanaka Welegedara,8,48,0,39,0,4.88,27,5,0,1,0,434258
Tillakaratne Dilshan,3,18,0,16,1,5.33,11,1,0,1,0,434258
Suranga Lakmal,9,54,1,63,2,7,32,8,2,5,0,434258
Suraj Randiv,10,60,0,51,2,5.1,28,3,1,2,0,434258
Thilina Kandamby,5,30,0,21,0,4.2,15,1,0,0,0,434258
Muthumudalige Pushpakumara,5,30,0,21,0,4.2,12,0,0,1,0,434258
Chanaka Welegedara,10,60,1,66,5,6.6,33,7,0,4,4,434259
Suranga Lakmal,8,48,1,48,0,6,23,7,0,1,0,434259
Thilan Thushara,10,60,0,62,2,6.2,29,7,1,1,0,434259
Suraj Randiv,10,60,0,36,0,3.6,35,2,0,0,0,434259
Thilina Kandamby,4,24,1,22,0,5.5,14,0,2,1,0,434259
Thilan Samaraweera,2,12,0,12,0,6,4,1,0,0,0,434259
Thisara Perera,6,36,0,27,2,4.5,21,3,0,1,0,434259
Nuwan Kulasekara,10,60,1,48,2,4.8,39,7,0,2,0,434261
Thilan Thushara,9,54,0,67,1,7.44,26,5,2,5,0,434261
Suraj Randiv,10,60,1,40,2,4,33,4,0,0,0,434261
Thisara Perera,10,60,0,32,2,3.2,34,0,0,1,0,434261
Malinga Bandara,10,60,0,44,0,4.4,27,1,0,1,0,434261
Thilan Samaraweera,1,6,0,17,0,17,0,0,2,0,0,434261
Chanaka Welegedara,5.4,34,0,51,0,9,17,8,0,0,2,434262
Suranga Lakmal,10,60,0,75,0,7.5,29,12,0,1,3,434262
Thilan Thushara,6,36,0,33,1,5.5,18,4,0,1,0,434262
Suraj Randiv,6,36,0,19,0,3.17,23,0,0,0,0,434262
Thisara Perera,5,30,1,32,1,6.4,15,4,0,0,0,434262
Nuwan Kulasekara,10,60,0,48,4,4.8,39,6,1,1,0,434264
Chanaka Welegedara,10,60,1,53,3,5.3,31,6,0,0,0,434264
Thilan Thushara,6,36,1,26,0,4.33,22,2,0,2,0,434264
Suraj Randiv,9,54,0,47,1,5.22,29,4,1,1,0,434264
Thisara Perera,8.2,50,0,49,1,5.88,20,4,0,1,0,434264
Tillakaratne Dilshan,5,30,0,18,1,3.6,14,0,0,1,0,434264
Nuwan Kulasekara,9,54,1,34,1,3.78,33,3,0,1,0,452147
Dilhara Fernando,8.3,51,0,58,0,6.82,20,3,1,2,0,452147
Ajantha Mendis,10,60,0,64,1,6.4,20,6,0,0,0,452147
Suraj Randiv,9,54,0,51,1,5.67,20,3,1,0,0,452147
Thisara Perera,7,42,0,35,0,5,17,2,0,0,0,452147
Nuwan Kulasekara,4,24,0,12,0,3,15,0,0,0,0,452148
Dilhara Fernando,4.5,29,0,26,2,5.38,14,3,0,1,0,452148
Ajantha Mendis,6,36,0,21,2,3.5,22,0,0,1,1,452148
Thisara Perera,1,6,0,16,0,16,1,1,1,1,0,452148
Suraj Randiv,5,30,0,23,3,4.6,13,0,1,0,0,452148
Jeevan Mendis,4,24,0,12,2,3,14,0,0,1,0,452148
Nuwan Kulasekara,9,54,1,47,1,5.22,32,6,1,0,0,452150
Thilan Thushara,9,54,1,57,3,6.33,28,7,0,4,1,452150
Thisara Perera,4,24,0,33,1,8.25,11,6,0,1,0,452150
Ajantha Mendis,10,60,0,54,0,5.4,28,3,2,0,0,452150
Jeevan Mendis,6,36,0,29,0,4.83,13,1,0,1,0,452150
Suraj Randiv,10,60,1,38,2,3.8,26,1,0,0,0,452150
Tillakaratne Dilshan,2,12,0,5,1,2.5,7,0,0,0,0,452150
Thilan Thushara,9.5,59,1,50,1,5.08,35,2,1,6,0,452151
Dilhara Fernando,9,54,0,37,0,4.11,31,2,1,0,1,452151
Thisara Perera,2,12,0,24,0,12,4,5,0,0,0,452151
Suraj Randiv,9,54,0,38,0,4.22,31,2,1,0,0,452151
Jeevan Mendis,8,48,0,42,0,5.25,15,1,0,1,0,452151
Tillakaratne Dilshan,8,48,0,35,1,4.38,18,1,0,0,0,452151
Chamara Kapugedera,2,12,0,8,0,4,5,0,0,0,0,452151
Nuwan Kulasekara,7,42,2,17,1,2.43,33,2,0,2,0,452152
Dilhara Fernando,9,54,0,36,3,4,35,3,0,4,0,452152
Ajantha Mendis,10,60,1,44,2,4.4,29,2,0,0,0,452152
Angelo Mathews,4,24,0,14,0,3.5,14,1,0,0,0,452152
Suraj Randiv,8,48,0,36,0,4.5,25,2,0,0,0,452152
Jeevan Mendis,9,54,0,36,2,4,26,1,0,1,0,452152
Tillakaratne Dilshan,2,12,0,14,0,7,3,1,0,1,0,452152
Nuwan Kulasekara,9,54,1,25,0,2.78,40,1,0,2,0,455231
Lasith Malinga,10,60,0,34,5,3.4,40,2,0,3,0,455231
Angelo Mathews,10,60,1,38,2,3.8,35,3,0,3,0,455231
Farveez Maharoof,8,48,0,53,0,6.63,23,3,2,1,0,455231
Muttiah Muralitharan,10,60,0,71,1,7.1,30,3,5,1,0,455231
Nuwan Kulasekara,6,36,0,39,1,6.5,21,7,0,2,0,455233
Lasith Malinga,8.2,50,0,35,2,4.2,31,3,0,3,0,455233
Tillakaratne Dilshan,10,60,0,37,3,3.7,36,1,0,3,0,455233
Muttiah Muralitharan,8,48,0,38,2,4.75,26,2,1,0,0,455233
Chanaka Welegedara,8,48,2,31,2,3.88,34,4,0,2,1,455233
Chanaka Welegedara,7.3,45,0,42,0,5.6,26,6,0,0,0,455236
Farveez Maharoof,10,60,1,42,5,4.2,36,5,0,1,0,455236
Angelo Mathews,6,36,0,37,1,6.17,18,5,0,0,0,455236
Rangana Herath,7,42,0,31,2,4.43,21,2,0,0,0,455236
Suraj Randiv,9,54,1,40,0,4.44,34,4,1,2,0,455236
Thilina Kandamby,3,18,0,14,0,4.67,9,1,0,0,0,455236
Nuwan Kulasekara,9,54,0,44,1,4.89,27,3,0,2,0,455237
Lasith Malinga,10,60,0,57,2,5.7,30,5,0,6,1,455237
Farveez Maharoof,6,36,0,41,0,6.83,18,5,1,0,0,455237
Angelo Mathews,3,18,1,16,0,5.33,11,3,0,0,0,455237
Muttiah Muralitharan,10,60,0,34,0,3.4,35,3,0,0,0,455237
Thilina Kandamby,7,42,0,37,2,5.29,14,2,0,0,0,455237
Tillakaratne Dilshan,5,30,0,30,0,6,13,3,0,1,0,455237
Lasith Malinga,10,60,1,35,3,3.5,40,1,0,4,3,456664
Nuwan Kulasekara,8.1,49,1,35,1,4.29,31,5,0,1,0,456664
Angelo Mathews,10,60,1,36,3,3.6,43,4,0,1,0,456664
Ajantha Mendis,10,60,0,42,1,4.2,33,1,1,1,0,456664
Rangana Herath,10,60,0,35,2,3.5,32,1,0,0,0,456664
Lasith Malinga,7,42,0,34,0,4.86,24,4,0,0,2,456663
Nuwan Kulasekara,5,30,0,23,0,4.6,18,2,0,1,0,456663
Angelo Mathews,7,42,1,32,2,4.57,29,4,1,0,1,456663
Dilhara Fernando,8,48,0,33,2,4.13,28,3,0,0,2,456663
Suraj Randiv,7.3,45,0,38,0,5.07,21,2,1,0,1,456663
Lasith Malinga,9,54,1,21,2,2.33,43,2,0,2,0,456666
Nuwan Kulasekara,9,54,2,31,2,3.44,39,4,0,1,0,456666
Angelo Mathews,8,48,3,20,1,2.5,38,3,0,1,0,456666
Thisara Perera,7.4,46,1,28,5,3.65,35,3,1,1,0,456666
Lasith Malinga,9,54,0,49,2,5.44,28,5,0,1,2,456668
Nuwan Kulasekara,9,54,0,47,0,5.22,37,7,1,2,0,456668
Angelo Mathews,10,60,0,48,1,4.8,33,5,0,2,2,456668
Thisara Perera,9,54,2,36,3,4,34,3,1,2,0,456668
Suraj Randiv,9.5,59,1,40,3,4.07,38,2,2,1,0,456668
Lasith Malinga,10,60,0,39,1,3.9,35,1,0,3,0,446957
Nuwan Kulasekara,10,60,0,60,1,6,26,6,0,0,0,446957
Thisara Perera,8,48,0,46,5,5.75,21,4,0,1,0,446957
Muttiah Muralitharan,9,54,0,36,0,4,28,2,0,0,0,446957
Suraj Randiv,9,54,0,35,1,3.89,25,1,0,0,0,446957
Tillakaratne Dilshan,4,24,0,17,0,4.25,8,0,0,0,0,446957
Lasith Malinga,7.4,46,0,34,1,4.43,25,1,0,2,0,446958
Nuwan Kulasekara,8,48,1,48,2,6,25,3,1,0,0,446958
Thisara Perera,8,48,0,39,2,4.88,23,1,1,1,0,446958
Muttiah Muralitharan,7,42,0,30,2,4.29,17,1,0,0,0,446958
Suraj Randiv,7,42,0,53,2,7.57,12,2,1,0,0,446958
Lasith Malinga,6,36,0,31,0,5.17,23,2,0,5,0,446959
Dilhara Fernando,8,48,0,47,2,5.88,31,4,0,3,5,446959
Thisara Perera,4.4,28,1,19,0,4.07,20,3,0,0,0,446959
Jeevan Mendis,1,6,0,10,0,10,1,1,0,0,0,446959
Suraj Randiv,2,12,0,11,0,5.5,7,0,1,0,0,446959
Lasith Malinga,10,60,0,51,3,5.1,29,4,0,2,0,464990
Nuwan Kulasekara,10,60,2,35,1,3.5,39,1,1,0,0,464990
Angelo Mathews,7,42,0,35,0,5,21,2,1,0,0,464990
Muttiah Muralitharan,10,60,0,42,0,4.2,34,3,0,0,0,464990
Ajantha Mendis,9,54,0,50,0,5.56,22,2,1,2,0,464990
Chamara Kapugedera,2,12,0,11,0,5.5,4,1,0,0,0,464990
Tillakaratne Dilshan,2,12,0,19,0,9.5,1,0,1,0,0,464990
Lasith Malinga,10,60,0,30,3,3,40,1,0,2,0,464991
Nuwan Kulasekara,10,60,1,42,2,4.2,36,2,1,1,0,464991
Angelo Mathews,4,24,0,20,0,5,16,4,0,0,0,464991
Muttiah Muralitharan,10,60,2,42,2,4.2,36,0,2,3,0,464991
Tillakaratne Dilshan,7,42,0,27,0,3.86,26,1,0,1,0,464991
Rangana Herath,9,54,1,33,1,3.67,33,1,1,1,0,464991
Dilhara Fernando,10,60,1,45,2,4.5,36,4,1,2,0,464992
Thisara Perera,9,54,2,36,3,4,36,4,0,0,0,464992
Angelo Mathews,6,36,0,33,0,5.5,16,3,0,2,0,464992
Ajantha Mendis,10,60,1,46,4,4.6,31,2,0,1,0,464992
Chamara Kapugedera,1,6,0,7,0,7,3,1,0,1,0,464992
Tillakaratne Dilshan,3,18,0,25,0,8.33,5,1,1,0,0,464992
Rangana Herath,10,60,0,54,1,5.4,29,2,2,1,0,464992
Nuwan Kulasekara,6,36,2,16,3,2.67,26,2,0,0,0,433560
Thisara Perera,7,42,0,24,3,3.43,30,3,0,0,0,433560
Ajantha Mendis,7.5,47,3,18,1,2.3,37,2,0,1,0,433560
Muttiah Muralitharan,9,54,0,38,2,4.22,37,2,2,3,1,433560
Tillakaratne Dilshan,5,30,0,14,0,2.8,17,0,0,0,0,433560
Thilan Samaraweera,2,12,0,4,1,2,8,0,0,0,0,433560
Nuwan Kulasekara,10,60,1,64,0,6.4,33,9,1,1,0,433567
Thisara Perera,9,54,0,62,2,6.89,28,9,0,2,0,433567
Angelo Mathews,10,60,0,56,1,5.6,25,5,0,0,0,433567
Muttiah Muralitharan,10,60,0,35,1,3.5,28,0,0,2,0,433567
Rangana Herath,10,60,0,46,2,4.6,26,1,0,0,0,433567
Tillakaratne Dilshan,1,6,0,10,0,10,0,1,0,0,0,433567
Lasith Malinga,7.4,46,0,38,6,4.96,35,5,0,3,2,433571
Nuwan Kulasekara,9,54,1,18,1,2,41,1,0,0,0,433571
Angelo Mathews,7,42,0,20,1,2.86,29,2,0,1,0,433571
Ajantha Mendis,9,54,2,23,0,2.56,41,2,0,0,0,433571
Muttiah Muralitharan,8,48,0,24,1,3,28,0,0,0,0,433571
Chamara Silva,3,18,0,12,0,4,8,0,0,1,0,433571
Lasith Malinga,8,48,0,51,0,6.38,27,6,0,7,0,433583
Nuwan Kulasekara,8,48,0,33,0,4.13,31,3,0,1,0,433583
Thisara Perera,6,36,0,33,1,5.5,20,3,1,0,0,433583
Muttiah Muralitharan,9,54,0,34,3,3.78,28,2,0,0,0,433583
Angelo Mathews,5,30,0,29,2,5.8,12,3,0,0,0,433583
Tillakaratne Dilshan,3,18,1,4,4,1.33,15,0,0,0,0,433583
Lasith Malinga,5,30,0,38,1,7.6,15,5,1,3,0,433594
Nuwan Kulasekara,7,42,0,19,1,2.71,31,2,0,2,0,433594
Angelo Mathews,3,18,0,19,1,6.33,8,2,0,0,0,433594
Ajantha Mendis,6,36,0,24,2,4,20,2,0,1,0,433594
Tillakaratne Dilshan,6,36,0,24,1,4,14,0,0,0,0,433594
Muttiah Muralitharan,8,48,0,25,4,3.13,33,2,0,0,1,433594
Lasith Malinga,10,60,0,46,1,4.6,30,3,0,2,0,433603
Tillakaratne Dilshan,6,36,1,25,1,4.17,19,1,0,1,0,433603
Angelo Mathews,5,30,0,20,1,4,20,2,0,0,0,433603
Rangana Herath,10,60,1,47,0,4.7,27,3,0,0,0,433603
Ajantha Mendis,10,60,0,34,1,3.4,29,0,0,0,0,433603
Muttiah Muralitharan,9,54,0,54,2,6,20,3,0,1,0,433603
Lasith Malinga,9,54,0,55,3,6.11,30,8,0,0,1,433604
Rangana Herath,9,54,1,31,1,3.44,33,1,1,1,0,433604
Angelo Mathews,6,36,0,27,0,4.5,21,3,0,0,0,433604
Ajantha Mendis,9.5,59,0,35,3,3.56,35,2,0,0,0,433604
Muttiah Muralitharan,10,60,1,42,2,4.2,36,2,1,2,0,433604
Tillakaratne Dilshan,5,30,0,22,1,4.4,12,0,0,1,0,433604
Lasith Malinga,9,54,0,42,2,4.67,31,4,0,2,0,433606
Nuwan Kulasekara,8.2,50,0,64,0,7.68,20,8,1,0,0,433606
Thisara Perera,9,54,0,55,1,6.11,27,5,1,2,0,433606
Suraj Randiv,9,54,0,43,0,4.78,24,3,0,0,0,433606
Tillakaratne Dilshan,5,30,0,27,1,5.4,14,2,0,1,0,433606
Muttiah Muralitharan,8,48,0,39,0,4.88,23,3,0,1,0,433606
Lasith Malinga,7,42,0,40,3,5.71,19,5,0,0,1,474467
Nuwan Kulasekara,6,36,1,31,0,5.17,21,5,0,0,0,474467
Suranga Lakmal,7,42,0,52,2,7.43,19,4,1,4,0,474467
Sanath Jayasuriya,6,36,0,46,1,7.67,7,2,0,2,0,474467
Suraj Randiv,4,24,0,34,1,8.5,8,4,1,0,0,474467
Jeevan Mendis,2,12,0,18,1,9,6,4,0,0,0,474467
Tillakaratne Dilshan,4,24,0,29,0,7.25,8,1,1,1,0,474468
Nuwan Kulasekara,9,54,0,39,1,4.33,30,4,0,0,0,474468
Lasith Malinga,8,48,0,41,1,5.13,27,5,0,2,0,474468
Suranga Lakmal,7.5,47,0,43,3,5.49,21,4,0,1,0,474468
Suraj Randiv,9,54,0,43,3,4.78,26,2,1,1,0,474468
Jeevan Mendis,6,36,0,31,2,5.17,19,1,2,1,0,474468
Angelo Mathews,2,12,0,13,0,6.5,2,0,0,0,0,474468
Angelo Mathews,1,6,0,4,0,4,5,1,0,0,0,474469
Lasith Malinga,10,60,1,54,2,5.4,29,5,1,1,0,474469
Nuwan Kulasekara,10,60,1,40,0,4,39,5,0,3,0,474469
Suranga Lakmal,10,60,0,62,2,6.2,27,8,0,1,0,474469
Jeevan Mendis,10,60,0,40,2,4,28,2,0,0,0,474469
Suraj Randiv,8,48,0,33,0,4.13,16,0,0,0,0,474469
Thilina Kandamby,1,6,0,9,0,9,0,1,0,0,0,474469
Nuwan Kulasekara,3.5,23,0,36,0,9.39,12,6,1,0,0,474470
Lasith Malinga,5,30,0,28,0,5.6,20,5,0,3,0,474470
Suranga Lakmal,2,12,0,12,0,6,9,3,0,0,0,474470
Angelo Mathews,3,18,0,22,0,7.33,7,3,0,0,0,474470
Suraj Randiv,5,30,0,32,0,6.4,12,2,1,0,0,474470
Tillakaratne Dilshan,3,18,0,21,0,7,7,3,0,1,0,474470
Jeevan Mendis,2,12,0,20,0,10,4,2,1,0,0,474470
Tillakaratne Dilshan,10,60,0,49,1,4.9,32,2,0,4,0,474471
Nuwan Kulasekara,8,48,0,51,0,6.38,23,4,1,1,0,474471
Lasith Malinga,10,60,0,60,0,6,29,5,0,1,0,474471
Dhammika Prasad,6,36,0,26,2,4.33,21,1,0,1,0,474471
Suraj Randiv,10,60,0,42,5,4.2,25,0,0,0,0,474471
Jeevan Mendis,6,36,0,33,0,5.5,8,1,0,0,0,474471
Lasith Malinga,9.4,58,2,30,5,3.1,45,3,0,5,0,506208
Dhammika Prasad,7,42,1,17,3,2.43,32,2,0,2,0,506208
Thisara Perera,6,36,0,20,1,3.33,27,3,0,1,0,506208
Ajantha Mendis,8,48,2,24,1,3,37,2,0,1,2,506208
Jeevan Mendis,2,12,0,6,0,3,6,0,0,0,0,506208
Nuwan Kulasekara,5,30,1,21,0,4.2,20,1,1,0,0,516206
Suranga Lakmal,5,30,0,39,0,7.8,15,6,1,1,0,516206
Ajantha Mendis,6,36,0,32,1,5.33,19,1,2,0,0,516206
Suraj Randiv,8.1,49,0,44,2,5.39,29,4,2,0,0,516206
Jeevan Mendis,9,54,0,37,0,4.11,19,0,0,0,0,516206
Tillakaratne Dilshan,5,30,1,18,0,3.6,16,0,0,1,0,516206
Lasith Malinga,8,48,0,45,1,5.63,30,5,0,5,1,516207
Nuwan Kulasekara,7,42,1,38,1,5.43,28,5,1,0,0,516207
Angelo Mathews,3,18,0,18,0,6,10,3,0,0,0,516207
Rangana Herath,8.2,50,0,57,0,6.84,18,3,2,1,0,516207
Ajantha Mendis,6,36,0,23,0,3.83,18,1,0,0,0,516207
Jeevan Mendis,3,18,0,12,0,4,8,0,0,0,0,516207
Tillakaratne Dilshan,3,18,0,16,0,5.33,9,0,1,0,0,516207
Lasith Malinga,8.2,50,2,28,5,3.36,37,3,0,3,1,516208
Nuwan Kulasekara,10,60,1,50,1,5,38,7,1,0,0,516208
Shaminda Eranga,7,42,0,38,2,5.43,22,3,0,5,0,516208
Tillakaratne Dilshan,10,60,0,39,0,3.9,29,2,0,0,0,516208
Jeevan Mendis,1,6,0,5,0,5,1,0,0,0,0,516208
Ajantha Mendis,8,48,0,38,1,4.75,18,1,0,0,0,516208
Lasith Malinga,7,42,2,18,2,2.57,31,2,0,0,0,516209
Ajantha Mendis,7,42,0,31,0,4.43,26,3,0,1,0,516209
Tillakaratne Dilshan,2,12,0,17,0,8.5,7,4,0,0,0,516209
Nuwan Kulasekara,2,12,0,13,0,6.5,8,3,0,0,0,516209
Shaminda Eranga,4,24,0,16,0,4,17,2,0,1,0,516209
Seekkuge Prasanna,6,36,1,32,3,5.33,25,5,1,0,0,516209
Lasith Malinga,8,48,2,35,3,4.38,34,5,0,2,2,516210
Shaminda Eranga,8,48,0,45,2,5.63,29,6,0,4,0,516210
Seekkuge Prasanna,10,60,1,37,1,3.7,37,4,0,0,0,516210
Angelo Mathews,3,18,0,6,1,2,12,0,0,0,0,516210
Jeevan Mendis,8,48,0,35,0,4.38,26,2,1,0,0,516210
Ajantha Mendis,9.1,55,0,49,3,5.35,26,4,1,1,0,516210
Lasith Malinga,5,30,0,35,0,7,17,2,0,3,4,530427
Suranga Lakmal,4,24,0,16,2,4,18,3,0,0,0,530427
Dilhara Fernando,5.5,35,0,35,0,6,18,4,0,2,0,530427
Seekkuge Prasanna,4,24,0,23,0,5.75,13,3,0,0,0,530427
Kosala Kulasekara,3,18,0,17,0,5.67,10,3,0,0,0,530427
Lasith Malinga,9,54,1,36,3,4,40,5,0,5,0,530428
Thisara Perera,9,54,1,30,2,3.33,32,0,0,0,0,530428
Dilhara Fernando,9,54,0,54,2,6,29,7,1,2,0,530428
Seekkuge Prasanna,9.3,57,1,38,0,4,28,1,1,0,0,530428
Tillakaratne Dilshan,1,6,0,3,0,3,3,0,0,0,0,530428
Jeevan Mendis,9,54,0,43,0,4.78,16,1,0,0,0,530428
Lasith Malinga,10,60,0,57,2,5.7,29,6,0,1,1,530429
Thisara Perera,10,60,1,45,1,4.5,35,4,0,1,0,530429
Dilhara Fernando,10,60,1,59,0,5.9,36,10,0,3,0,530429
Tillakaratne Dilshan,8,48,0,38,1,4.75,19,1,1,0,0,530429
Seekkuge Prasanna,9,54,0,39,2,4.33,20,1,0,0,0,530429
Jeevan Mendis,3,18,0,15,0,5,8,0,1,0,0,530429
Lasith Malinga,9.3,57,0,38,1,4,33,3,0,1,0,530430
Thisara Perera,10,60,1,36,1,3.6,40,4,0,1,0,530430
Dilhara Fernando,10,60,3,26,3,2.6,43,1,0,1,0,530430
Jeevan Mendis,9,54,0,40,2,4.44,27,1,1,0,0,530430
Seekkuge Prasanna,10,60,1,55,2,5.5,33,4,2,4,0,530430
Tillakaratne Dilshan,1,6,0,3,0,3,3,0,0,0,0,530430
Lasith Malinga,9,54,2,28,1,3.11,40,4,0,1,0,530431
Thisara Perera,7,42,1,32,0,4.57,27,3,0,1,0,530431
Seekkuge Prasanna,8,48,0,48,0,6,21,3,0,2,0,530431
Dilhara Fernando,9.2,56,0,47,2,5.04,34,5,0,3,0,530431
Angelo Mathews,5,30,1,11,1,2.2,22,1,0,0,0,530431
Jeevan Mendis,7,42,0,36,3,5.14,18,3,0,0,0,530431
Tillakaratne Dilshan,2,12,0,12,0,6,5,1,0,1,0,530431
Lasith Malinga,10,60,0,54,5,5.4,33,3,1,1,0,514035
Nuwan Kulasekara,10,60,0,50,1,5,31,3,1,1,0,514035
Dilhara Fernando,9,54,0,65,0,7.22,21,6,1,2,0,514035
Angelo Mathews,5,30,0,23,0,4.6,14,2,0,1,0,514035
Kosala Kulasekara,6,36,0,36,0,6,6,1,0,1,0,514035
Tillakaratne Dilshan,2,12,0,17,0,8.5,2,2,0,0,0,514035
Ajantha Mendis,8,48,0,54,1,6.75,13,5,0,1,0,514035
Lasith Malinga,10,60,1,38,1,3.8,35,4,0,0,0,514036
Nuwan Kulasekara,8,48,0,47,0,5.88,23,3,2,0,0,514036
Angelo Mathews,2,12,0,13,0,6.5,4,1,0,1,0,514036
Dhammika Prasad,10,60,0,46,3,4.6,26,3,0,0,0,514036
Tillakaratne Dilshan,8.4,52,0,44,0,5.08,23,4,0,0,0,514036
Kosala Kulasekara,1,6,0,6,0,6,1,0,0,0,0,514036
Rangana Herath,9,54,0,40,0,4.44,24,0,1,0,0,514036
Lasith Malinga,5,30,1,20,2,4,19,2,0,2,0,514037
Nuwan Kulasekara,6,36,0,31,0,5.17,18,3,0,0,0,514037
Dhammika Prasad,5,30,0,38,0,7.6,13,6,0,0,0,514037
Rangana Herath,6,36,0,24,0,4,16,0,0,0,0,514037
Tillakaratne Dilshan,5,30,0,22,1,4.4,11,0,0,0,0,514037
Kosala Kulasekara,3,18,0,21,0,7,8,3,0,0,0,514037
