Date,Match_Id,URL_Text,Bowling_Session,Venue,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,URL
13-Mar-12,535795,ODI # 3259,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",35 °c,34 °c,6 km/h from NE,7 km/h,0.0 mm,25%,5%,1010 mb,Excellent,
15-Mar-12,535796,ODI # 3260,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",28 °c,27 °c,9 km/h from WNW,20 km/h,0.0 mm,38%,3%,1009 mb,Excellent,
20-Mar-12,535799,ODI # 3265,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",30 °c,32 °c,9 km/h from SE,17 km/h,0.2 mm,55%,24%,1006 mb,Excellent,
7-Jun-12,562439,ODI # 3272,18.45-22.15,Pallekele International Cricket Stadium,23 °c,25 °c,15 km/h from SW,23 km/h,0.1 mm,84%,38%,1008 mb,Excellent,
9-Jun-12,562440,ODI # 3273,18.45-22.15,Pallekele International Cricket Stadium,23 °c,25 °c,15 km/h from SW,23 km/h,0.0 mm,87%,30%,1008 mb,Excellent,
13-Jun-12,562441,ODI # 3274,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",28 °c,31 °c,23 km/h from SSW,29 km/h,1.5 mm,74%,47%,1007 mb,Excellent,
16-Jun-12,562442,ODI # 3275,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27 °c,31 °c,15 km/h from WSW,23 km/h,0.1 mm,81%,60%,1010 mb,Excellent,
18-Jun-12,562443,ODI # 3277,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",28 °c,32 °c,21 km/h from WSW,28 km/h,0.1 mm,72%,45%,1010 mb,Excellent,
21-Jul-12,564781,ODI # 3291,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27 °c,30 °c,26 km/h from W,38 km/h,0.0 mm,78%,5%,1010 mb,Excellent,
24-Jul-12,564782,ODI # 3292,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27 °c,31 °c,27 km/h from WSW,36 km/h,0.0 mm,79%,20%,1008 mb,Excellent,
28-Jul-12,564783,ODI # 3293,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27 °c,30 °c,12 km/h from SW,18 km/h,0.0 mm,83%,68%,1009 mb,Excellent,
31-Jul-12,564784,ODI # 3294,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27 °c,30 °c,12 km/h from SSW,18 km/h,0.0 mm,83%,35%,1011 mb,Excellent,
4-Aug-12,564785,ODI # 3295,14.30-18.00,Pallekele International Cricket Stadium,27 °c,28 °c,19 km/h from WSW,24 km/h,1.0 mm,62%,7%,1007 mb,Excellent,
4-Nov-12,582188,ODI # 3305,14.30-18.00,Pallekele International Cricket Stadium,25 °c,28 °c,4 km/h from W,6 km/h,3.7 mm,82%,32%,1008 mb,Good,
6-Nov-12,582189,ODI # 3306,14.30-18.00,Pallekele International Cricket Stadium,24 °c,27 °c,0 km/h from S,1 km/h,22.1 mm,91%,55%,1008 mb,Average,
10-Nov-12,582190,ODI # 3307,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27 °c,30 °c,6 km/h from NNE,10 km/h,4.1 mm,79%,37%,1012 mb,Good,
12-Nov-12,582191,ODI # 3308,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26 °c,29 °c,8 km/h from NNE,13 km/h,7.6 mm,81%,26%,1012 mb,Average,
11-Jan-13,573014,ODI # 3317,14.20-17.50,Melbourne Cricket Ground,32 °c,30 °c,16 km/h from SSW,19 km/h,0.0 mm,24%,2%,1001 mb,Excellent,
13-Jan-13,573015,ODI # 3319,13.50-17.20,Adelaide Oval,19 °c,19 °c,11 km/h from S,13 km/h,1.8 mm,60%,5%,1017 mb,Excellent,
18-Jan-13,573016,ODI # 3321,13.20-16.50,"Brisbane Cricket Ground, Woolloongabba, Brisbane",28 °c,30 °c,24 km/h from NNE,28 km/h,0.0 mm,62%,11%,1007 mb,Excellent,
20-Jan-13,573017,ODI # 3324,14.20-17.50,Sydney Cricket Ground,23 °c,25 °c,8 km/h from ESE,10 km/h,1.0 mm,82%,91%,1015 mb,Excellent,
23-Jan-13,573018,ODI # 3326,14.20-17.50,"Bellerive Oval, Hobart",16 °c,16 °c,15 km/h from ESE,20 km/h,0.0 mm,63%,64%,1021 mb,Excellent,
23-Mar-13,602474,ODI # 3349,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",28 °c,31 °c,1 km/h from S,2 km/h,1.3 mm,79%,12%,1010 mb,Excellent,
25-Mar-13,602475,ODI # 3351,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27 °c,30 °c,6 km/h from N,10 km/h,7.0 mm,82%,20%,1010 mb,Good,
28-Mar-13,602476,ODI # 3352,18.45-22.15,Pallekele International Cricket Stadium,25 °c,27 °c,3 km/h from WNW,5 km/h,1.3 mm,89%,75%,1011 mb,Excellent,
9-Jun-13,578617,ODI # 3366,14.45-18.15,"Sophia Gardens, Cardiff",17 °c,17 °c,13 km/h from ENE,17 km/h,0.0 mm,61%,0%,1015 mb,Excellent,https://www.worldweatheronline.com/cricket/sophia-gardens-cardiff-weather-history/gb.aspx
13-Jun-13,578621,ODI # 3370,13.00-16.30,"Kennington Oval, London",16 °c,16 °c,25 km/h from SW,32 km/h,0.0 mm,77%,100%,1010 mb,Excellent,
17-Jun-13,578625,ODI # 3374,17.15-20.45,"Kennington Oval, London",17 °c,17 °c,18 km/h from NE,27 km/h,0.0 mm,65%,31%,1013 mb,Excellent,
20-Jun-13,566947,ODI # 3376,14.45-18.15,"Sophia Gardens, Cardiff",18 °c,18 °c,10 km/h from S,16 km/h,0.6 mm,89%,76%,1010 mb,Excellent,
28-Jun-13,597923,ODI # 3378,13.45-17.15,"Sabina Park, Kingston, Jamaica",28 °c,32 °c,15 km/h from ESE,28 km/h,4.2 mm,80%,49%,1011 mb,Good,
2-Jul-13,597925,ODI # 3382,13.45-17.15,"Sabina Park, Kingston, Jamaica",29 °c,33 °c,20 km/h from ESE,24 km/h,0.2 mm,71%,38%,1014 mb,Excellent,https://www.worldweatheronline.com/cricket/sabina-park-kingston-jamaica-weather-history/xw.aspx
7-Jul-13,597927,ODI # 3385,13.45-17.15,"Queen's Park Oval, Port of Spain, Trinidad",28 °c,31 °c,12 km/h from NE,18 km/h,2.2 mm,76%,24%,1011 mb,Excellent,
9-Jul-13,597928,ODI # 3387,09.30-13.00,"Queen's Park Oval, Port of Spain, Trinidad",29 °c,32 °c,9 km/h from SE,13 km/h,0.2 mm,70%,18%,1015 mb,Excellent,
11-Jul-13,597929,ODI # 3388,13.45-17.15,"Queen's Park Oval, Port of Spain, Trinidad",29 °c,32 °c,16 km/h from ENE,24 km/h,0.0 mm,70%,7%,1012 mb,Excellent,
20-Jul-13,635653,ODI # 3392,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,30 °c,10 km/h from SW,14 km/h,0.6 mm,88%,46%,1009 mb,Excellent,
23-Jul-13,635654,ODI # 3394,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,29 °c,14 km/h from SW,22 km/h,1.2 mm,83%,33%,1009 mb,Excellent,
26-Jul-13,635655,ODI # 3398,14.30-18.00,Pallekele International Cricket Stadium,27 °c,28 °c,18 km/h from WSW,22 km/h,0.2 mm,56%,28%,1007 mb,Excellent,
28-Jul-13,635656,ODI # 3400,14.30-18.00,Pallekele International Cricket Stadium,27 °c,29 °c,12 km/h from W,15 km/h,1.4 mm,64%,12%,1008 mb,Excellent,
31-Jul-13,635657,ODI # 3401,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,30 °c,13 km/h from SW,18 km/h,0.7 mm,87%,33%,1009 mb,Excellent,
10-Nov-13,668961,ODI # 3432,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26 °c,29 °c,6 km/h from N,9 km/h,3.3 mm,84%,34%,1010 mb,Good,
12-Nov-13,668963,ODI # 3434,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27 °c,30 °c,7 km/h from NNE,11 km/h,9.9 mm,79%,35%,1009 mb,Average,
16-Nov-13,668965,ODI # 3435,14.15-17.45,Rangiri Dambulla International Stadium,27 °c,32 °c,4 km/h from NE,9 km/h,8.8 mm,90%,25%,1007 mb,Average,
18-Dec-13,657637,ODI # 3445,15.00-18.30,Sharjah Cricket Stadium,25 °c,26 °c,10 km/h from NNE,13 km/h,0.0 mm,50%,4%,1016 mb,Excellent,
20-Dec-13,657639,ODI # 3446,15.00-18.30,Dubai International Cricket Stadium,24 °c,25 °c,24 km/h from WNW,32 km/h,0.0 mm,61%,7%,1016 mb,Excellent,
22-Dec-13,657641,ODI # 3447,15.00-18.30,Sharjah Cricket Stadium,22 °c,25 °c,4 km/h from SSE,5 km/h,2.9 mm,55%,45%,1017 mb,Good,
25-Dec-13,657643,ODI # 3448,19.15-22.45,"Sheikh Zayed Stadium, Abu Dhabi",21 °c,21 °c,28 km/h from N,41 km/h,0.0 mm,41%,0%,1024 mb,Excellent,
27-Dec-13,657645,ODI # 3450,15.00-18.30,"Sheikh Zayed Stadium, Abu Dhabi",22 °c,22 °c,22 km/h from NW,27 km/h,0.0 mm,57%,0%,1021 mb,Excellent,
17-Feb-14,690355,ODI # 3469,17.15-20.45,"Shere Bangla National Stadium, Mirpur, Dhaka",23 °c,25 °c,11 km/h from NW,16 km/h,0.0 mm,48%,0%,1012 mb,Excellent,
20-Feb-14,690357,ODI # 3470,17.15-20.45,"Shere Bangla National Stadium, Mirpur, Dhaka",26 °c,26 °c,9 km/h from WNW,16 km/h,0.0 mm,44%,0%,1011 mb,Excellent,
22-Feb-14,690359,ODI # 3471,13.00-16.30,"Shere Bangla National Stadium, Mirpur, Dhaka",32 °c,31 °c,5 km/h from N,5 km/h,0.0 mm,29%,0%,1015 mb,Excellent,
25-Feb-14,710291,ODI # 3473,18.15-21.45,"Khan Shaheb Osman Ali Stadium, Fatullah",26 °c,28 °c,23 km/h from NE,37 km/h,0.0 mm,72%,5%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/narayanganj-osmani-stadium-weather-history/bd.aspx
28-Feb-14,710297,ODI # 3476,14.00-17.30,"Khan Shaheb Osman Ali Stadium, Fatullah",26 °c,28 °c,28 km/h from NNE,33 km/h,0.0 mm,71%,3%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/narayanganj-osmani-stadium-weather-history/bd.aspx
3-Mar-14,710303,ODI # 3481,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",26 °c,26 °c,8 km/h from NW,16 km/h,0.0 mm,36%,6%,1011 mb,Excellent,
6-Mar-14,710309,ODI # 3485,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",32 °c,30 °c,12 km/h from WNW,14 km/h,0.0 mm,24%,5%,1011 mb,Excellent,
8-Mar-14,710311,ODI # 3486,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",33 °c,31 °c,11 km/h from NNW,12 km/h,0.0 mm,20%,2%,1013 mb,Excellent,
6-May-14,706767,ODI # 3490,15.00-18.30,"Castle Avenue, Dublin",13 °c,11 °c,28 km/h from S,38 km/h,0.5 mm,76%,57%,1000 mb,Excellent,
22-May-14,667889,ODI # 3492,13.00-16.30,"Kennington Oval, London",18 °c,18 °c,19 km/h from SSE,22 km/h,0.0 mm,66%,33%,1002 mb,Excellent,
25-May-14,667891,ODI # 3493,14.45-18.15,"Riverside Ground, Chester-le-Street",14 °c,13 °c,12 km/h from SSE,17 km/h,0.4 mm,80%,71%,1016 mb,Excellent,
28-May-14,667893,ODI # 3494,18.15-21.45,"Old Trafford, Manchester",11 °c,9 °c,11 km/h from NNE,16 km/h,1.7 mm,98%,100%,1015 mb,Excellent,
31-May-14,667895,ODI # 3495,14.45-18.15,"Lord's, London",19 °c,19 °c,5 km/h from NNW,5 km/h,0.1 mm,60%,35%,1024 mb,Excellent,
3-Jun-14,667897,ODI # 3496,14.00-17.30,"Edgbaston, Birmingham",16 °c,16 °c,11 km/h from WSW,13 km/h,1.2 mm,79%,71%,1010 mb,Excellent,
6-Jul-14,730083,ODI # 3500,10.00-13.30,"R.Premadasa Stadium, Khettarama, Colombo",29 °c,33 °c,18 km/h from WSW,21 km/h,10.2 mm,71%,25%,1009 mb,Average,
9-Jul-14,730085,ODI # 3501,18.45-22.15,Pallekele International Cricket Stadium,22 °c,25 °c,14 km/h from SW,23 km/h,0.0 mm,86%,14%,1009 mb,Excellent,
12-Jul-14,730087,ODI # 3502,10.00-13.30,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",31 °c,34 °c,36 km/h from W,49 km/h,0.0 mm,59%,16%,1007 mb,Excellent,
23-Aug-14,745159,ODI # 3512,14.15-17.45,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27 °c,30 °c,21 km/h from WSW,33 km/h,0.0 mm,79%,100%,1009 mb,Excellent,
26-Aug-14,745161,ODI # 3515,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26 °c,29 °c,20 km/h from W,30 km/h,0.0 mm,84%,26%,1011 mb,Excellent,
30-Aug-14,745163,ODI # 3519,10.00-13.30,Rangiri Dambulla International Stadium,29 °c,33 °c,6 km/h from NE,7 km/h,0.0 mm,68%,26%,1013 mb,Excellent,
2-Nov-14,792289,ODI # 3539,13.30-17.00,"Barabati Stadium, Cuttack",30 °c,33 °c,4 km/h from ESE,9 km/h,0.0 mm,64%,0%,1011 mb,Excellent,https://www.worldweatheronline.com/cricket/barabati-stadium-cuttack-weather-history/in.aspx
6-Nov-14,792291,ODI # 3540,17.45-21.15,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",29 °c,30 °c,6 km/h from NW,13 km/h,0.0 mm,43%,0%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/sardar-patel-stadium-motera-ahmedabad-weather-history/in.aspx
9-Nov-14,792293,ODI # 3543,17.45-21.15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",23 °c,25 °c,9 km/h from NE,16 km/h,0.0 mm,58%,27%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/rajiv-gandhi-international-stadium-hyderabad-weather-history/in.aspx
13-Nov-14,792295,ODI # 3544,13.30-17.00,"Eden Gardens, Kolkata",29 °c,29 °c,10 km/h from NW,16 km/h,0.0 mm,42%,0%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/eden-gardens-kolkata-weather-history/in.aspx
16-Nov-14,792297,ODI # 3547,17.45-21.15,"JSCA International Stadium Complex, Ranchi",17 °c,17 °c,10 km/h from NW,20 km/h,0.0 mm,43%,17%,1014 mb,Excellent,
26-Nov-14,750663,ODI # 3554,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,29 °c,24 km/h from NNE,40 km/h,2.8 mm,86%,26%,1008 mb,Good,
29-Nov-14,750665,ODI # 3557,10.00-13.30,"R.Premadasa Stadium, Khettarama, Colombo",29 °c,33 °c,23 km/h from NNW,27 km/h,0.0 mm,67%,61%,1011 mb,Excellent,
3-Dec-14,750667,ODI # 3561,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",25 °c,28 °c,15 km/h from NNE,24 km/h,0.0 mm,86%,35%,1012 mb,Excellent,
7-Dec-14,750669,ODI # 3563,10.00-13.30,"R.Premadasa Stadium, Khettarama, Colombo",30 °c,36 °c,6 km/h from NNW,7 km/h,0.0 mm,65%,40%,1011 mb,Excellent,
10-Dec-14,750671,ODI # 3565,18.45-22.15,Pallekele International Cricket Stadium,22 °c,22 °c,3 km/h from ENE,5 km/h,0.0 mm,93%,37%,1012 mb,Excellent,
13-Dec-14,750673,ODI # 3567,14.15-17.45,Pallekele International Cricket Stadium,24 °c,26 °c,6 km/h from NE,10 km/h,0.0 mm,86%,64%,1011 mb,Excellent,
16-Dec-14,750675,ODI # 3569,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,30 °c,2 km/h from NW,3 km/h,0.2 mm,86%,25%,1012 mb,Excellent,
11-Jan-15,749781,ODI # 3574,15.15-18.45,"Hagley Oval, Christchurch",25 °c,25 °c,5 km/h from SE,8 km/h,0.0 mm,36%,22%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/hagley-oval-weather-history/nz.aspx
15-Jan-15,749783,ODI # 3577,14.00-17.30,"Seddon Park, Hamilton",27 °c,28 °c,2 km/h from NNW,2 km/h,0.3 mm,52%,44%,1009 mb,Excellent,https://www.worldweatheronline.com/cricket/seddon-park-hamilton-weather-history/nz.aspx
17-Jan-15,749785,ODI # 3580,14.00-17.30,"Eden Park, Auckland",22 °c,22 °c,17 km/h from NNW,23 km/h,0.9 mm,76%,99%,1007 mb,Excellent,https://www.worldweatheronline.com/cricket/eden-park-auckland-weather-history/nz.aspx
20-Jan-15,749787,ODI # 3585,15.15-18.45,"Saxton Oval, Nelson",22 °c,24 °c,16 km/h from NNW,19 km/h,0.0 mm,37%,4%,1015 mb,Excellent,
23-Jan-15,749789,ODI # 3588,11.00-14.30,"University Oval, Dunedin",17 °c,17 °c,13 km/h from ENE,17 km/h,0.0 mm,73%,39%,1019 mb,Excellent,https://www.worldweatheronline.com/cricket/university-oval-dunedin-weather-history/nz.aspx
25-Jan-15,749791,ODI # 3590,11.00-14.30,"University Oval, Dunedin",18 °c,18 °c,15 km/h from NE,21 km/h,0.0 mm,80%,0%,1019 mb,Excellent,https://www.worldweatheronline.com/cricket/university-oval-dunedin-weather-history/nz.aspx
29-Jan-15,749793,ODI # 3594,18.15-21.45,"Westpac Stadium, Wellington",20 °c,20 °c,23 km/h from SSE,34 km/h,0.0 mm,85%,4%,1013 mb,Excellent,
14-Feb-15,656399,ODI # 3599,11.00-14.30,"Hagley Oval, Christchurch",14 °c,12 °c,20 km/h from SSW,23 km/h,0.3 mm,61%,79%,1029 mb,Excellent,
22-Feb-15,656421,ODI # 3609,11.00-14.30,"University Oval, Dunedin",15 °c,14 °c,12 km/h from ESE,16 km/h,0.1 mm,85%,60%,1025 mb,Excellent,https://www.worldweatheronline.com/cricket/university-oval-dunedin-weather-history/nz.aspx
