Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Thisara Perera;6.2;0;33;1;5.21;18;3;0;1;0;656433
Tillakaratne Dilshan;8;0;35;2;4.38;28;2;1;3;0;656433
Lasith Malinga;10;0;63;1;6.30;30;10;0;2;0;656441
Suranga Lakmal;7.4;0;71;1;9.26;25;11;1;2;2;656441
Angelo Mathews;10;1;43;1;4.30;38;4;1;1;0;656441
Tillakaratne Dilshan;8.2;0;35;1;4.20;24;1;1;0;0;656441
Rangana Herath;5.5;0;35;1;6.00;10;3;0;0;0;656441
Thisara Perera;8.1;0;55;1;6.73;24;6;2;0;0;656441
Lasith Malinga;10;0;59;2;5.90;29;7;0;1;0;656461
Sachithra Senanayake;9;0;59;0;6.56;23;5;1;0;0;656461
Angelo Mathews;7;0;59;1;8.43;15;6;1;2;0;656461
Seekkuge Prasanna;10;0;77;1;7.70;23;9;1;0;0;656461
Thisara Perera;9;0;87;2;9.67;18;9;4;1;0;656461
Tillakaratne Dilshan;5;0;33;1;6.60;10;2;1;0;0;656461
Lasith Malinga;9;0;29;2;3.22;35;0;0;2;0;656467
Nuwan Kulasekara;7;0;20;3;2.86;30;1;0;1;0;656467
Thisara Perera;7;0;41;1;5.86;21;5;0;2;0;656467
Tillakaratne Dilshan;5;0;15;1;3.00;19;1;0;0;0;656467
Seekkuge Prasanna;8;0;57;0;7.13;15;3;2;0;0;656467
Dushmantha Chameera;7.1;0;51;3;7.12;20;7;0;1;1;656467
Lasith Malinga;6;0;43;1;7.17;21;4;0;3;2;656483
Tillakaratne Dilshan;2;0;10;0;5.00;5;0;0;0;0;656483
Nuwan Kulasekara;1;0;13;0;13.00;2;3;0;0;0;656483
Tharindu Kaushal;6;0;25;0;4.17;22;1;0;0;0;656483
Dushmantha Chameera;2;0;29;0;14.50;3;3;0;4;1;656483
Thisara Perera;1;0;10;0;10.00;3;2;0;1;0;656483
Lasith Malinga;8;0;56;0;7.00;25;8;0;5;0;860269
Suranga Lakmal;5;1;21;1;4.20;21;4;0;0;0;860269
Thisara Perera;8;0;32;1;4.00;29;3;0;0;0;860269
Angelo Mathews;5;0;22;1;4.40;18;3;0;0;0;860269
Seekkuge Prasanna;9;0;72;0;8.00;21;6;4;0;0;860269
Tillakaratne Dilshan;8.2;0;45;1;5.40;21;1;2;0;0;860269
Milinda Siriwardana;2;0;10;0;5.00;6;1;0;0;0;860269
Angelo Mathews;10;2;36;1;3.60;34;2;0;0;0;860271
Nuwan Pradeep;8;1;42;1;5.25;27;5;0;0;0;860271
Thisara Perera;2;0;15;0;7.50;7;3;0;1;0;860271
Lasith Malinga;10;0;64;2;6.40;23;4;1;5;1;860271
Sachith Pathirana;9;0;70;2;7.78;21;3;5;0;0;860271
Milinda Siriwardana;5;0;22;1;4.40;14;1;0;2;0;860271
Tillakaratne Dilshan;6;0;31;1;5.17;14;2;0;1;0;860271
Angelo Mathews;8;0;52;0;6.50;20;6;0;0;0;860273
Nuwan Pradeep;9;0;47;0;5.22;26;4;0;3;0;860273
Lasith Malinga;10;0;80;1;8.00;16;8;1;0;1;860273
Sachith Pathirana;10;0;49;1;4.90;29;4;0;0;1;860273
Thisara Perera;10;0;63;0;6.30;21;3;0;4;0;860273
Tillakaratne Dilshan;3;0;20;0;6.67;4;1;0;1;0;860273
Lasith Malinga;9;2;46;1;5.11;36;7;0;0;0;860275
Suranga Lakmal;8;0;50;1;6.25;25;6;0;3;0;860275
Sachith Pathirana;10;0;81;0;8.10;25;7;4;0;0;860275
Nuwan Pradeep;2.2;0;9;0;3.86;8;0;0;1;0;860275
Angelo Mathews;2.4;0;9;0;3.38;9;0;0;2;0;860275
Milinda Siriwardana;5.5;0;28;1;4.80;24;1;2;0;0;860275
Tillakaratne Dilshan;3;0;30;0;10.00;4;4;0;3;0;860275
Lahiru Gamage;10;0;62;1;6.20;33;8;0;1;4;860277
Suranga Lakmal;6;0;35;0;5.83;20;5;0;1;0;860277
Sachithra Senanayake;8;1;39;3;4.88;27;4;1;0;0;860277
Thisara Perera;8;0;38;2;4.75;28;5;0;0;0;860277
Angelo Mathews;3;0;9;1;3.00;12;1;0;0;0;860277
Milinda Siriwardana;2.2;0;19;1;8.14;5;3;0;0;0;860277
Lasith Malinga;6;1;20;0;3.33;28;3;0;1;0;915777
Suranga Lakmal;5;0;15;3;3.00;24;1;0;2;0;915777
Sachithra Senanayake;5;0;25;0;5.00;17;0;2;0;0;915777
Shehan Jayasuriya;3;0;15;1;5.00;8;1;0;0;0;915777
Ajantha Mendis;4;0;46;2;11.50;7;2;4;1;0;915777
Angelo Mathews;3;0;35;1;11.67;4;2;2;1;0;915777
Lasith Malinga;7.4;0;43;2;5.61;24;4;1;0;0;915779
Suranga Lakmal;7;0;51;1;7.29;19;4;2;2;0;915779
Sachithra Senanayake;6;0;25;1;4.17;23;0;2;0;0;915779
Ajantha Mendis;7;0;44;0;6.29;20;4;1;1;1;915779
Shehan Jayasuriya;2;0;11;0;5.50;6;0;1;0;0;915779
Milinda Siriwardana;7;1;27;2;3.86;23;1;0;0;0;915779
Tillakaratne Dilshan;1;0;7;0;7.00;2;1;0;0;0;915779
Lasith Malinga;7;0;43;2;6.14;26;7;1;0;0;915781
Suranga Lakmal;7;0;40;2;5.71;28;5;0;3;0;915781
Dushmantha Chameera;7;0;39;2;5.57;26;6;0;3;0;915781
Milinda Siriwardana;5;0;17;0;3.40;17;1;0;0;0;915781
Ajantha Mendis;8;0;51;2;6.38;19;4;0;3;0;915781
Angelo Mathews;2;0;11;1;5.50;5;1;0;0;0;915781
Nuwan Kulasekara;3;0;27;0;9.00;9;4;1;0;0;914207
Suranga Lakmal;3;0;24;0;8.00;10;3;1;1;0;914207
Angelo Mathews;1;0;17;0;17.00;1;2;1;1;0;914207
Ajantha Mendis;5;0;49;0;9.80;16;9;0;2;0;914207
Milinda Siriwardana;5;0;45;2;9.00;11;5;2;0;0;914207
Dushmantha Chameera;2;0;18;0;9.00;7;3;0;3;0;914207
Tillakaratne Dilshan;2;0;10;1;5.00;6;1;0;1;0;914207
Dushmantha Chameera;2;0;41;0;20.50;2;4;3;4;0;914209
Nuwan Kulasekara;2;0;19;0;9.50;6;2;1;2;0;914209
Sachithra Senanayake;2.2;0;22;0;9.43;3;3;0;0;0;914209
Jeffrey Vandersay;2;0;34;0;17.00;4;2;4;0;0;914209
Nuwan Pradeep;10;0;55;2;5.50;32;4;2;1;0;914211
Dushmantha Chameera;10;0;38;2;3.80;42;4;1;1;0;914211
Tillakaratne Dilshan;8;1;43;0;5.38;19;3;1;0;0;914211
Nuwan Kulasekara;5;0;31;0;6.20;10;2;0;4;0;914211
Angelo Mathews;2;0;17;0;8.50;5;3;0;1;0;914211
Jeffrey Vandersay;10;1;55;2;5.50;29;4;1;3;1;914211
Milinda Siriwardana;5;0;33;1;6.60;9;2;1;0;0;914211
Dushmantha Chameera;3;0;32;1;10.67;7;1;3;0;1;914213
Thisara Perera;2;0;13;1;6.50;7;2;0;0;0;914213
Nuwan Kulasekara;1;0;4;1;4.00;3;0;0;0;0;914213
Milinda Siriwardana;2;0;11;0;5.50;5;0;0;2;0;914213
Jeffrey Vandersay;1;0;15;0;15.00;1;3;0;0;0;914213
Nuwan Pradeep;10;1;69;1;6.90;32;7;3;2;0;914215
Dushmantha Chameera;9;0;41;0;4.56;23;2;0;1;0;914215
Thisara Perera;6;0;45;0;7.50;16;6;1;0;0;914215
Nuwan Kulasekara;10;0;53;3;5.30;23;2;1;2;0;914215
Tillakaratne Dilshan;10;0;49;1;4.90;22;3;0;0;0;914215
Milinda Siriwardana;5;0;32;0;6.40;13;3;1;0;0;914215
Shaminda Eranga;7;0;34;1;4.86;26;5;0;0;1;913619
Angelo Mathews;9;0;37;2;4.11;33;4;0;1;0;913619
Nuwan Pradeep;8;0;45;1;5.63;24;5;1;1;0;913619
Seekkuge Prasanna;6.4;0;44;1;6.60;18;3;2;0;0;913619
Dasun Shanaka;9;0;43;5;4.78;31;4;0;0;0;913619
Dhananjaya de Silva;1;0;7;0;7.00;2;1;0;0;0;913619
Suranga Lakmal;10;1;38;4;3.80;38;2;1;3;0;913621
Angelo Mathews;4;1;34;1;8.50;12;4;1;1;0;913621
Farveez Maharoof;10;1;60;1;6.00;31;6;1;0;0;913621
Dasun Shanaka;6;0;35;1;5.83;18;4;0;0;0;913621
Seekkuge Prasanna;8;1;32;2;4.00;27;3;0;1;0;913621
Danushka Gunathilaka;7;0;40;1;5.71;17;3;1;0;0;913621
Suranga Lakmal;10;0;65;2;6.50;31;9;0;3;0;913623
Angelo Mathews;6;0;22;2;3.67;21;1;0;0;0;913623
Dasun Shanaka;3;0;21;0;7.00;6;3;0;0;0;913623
Nuwan Pradeep;10;0;64;2;6.40;25;5;1;1;0;913623
Farveez Maharoof;10;0;59;1;5.90;20;2;0;0;0;913623
Seekkuge Prasanna;10;0;43;1;4.30;25;0;1;0;0;913623
Danushka Gunathilaka;1;0;10;0;10.00;0;1;0;0;0;913623
Farveez Maharoof;7;1;47;0;6.71;17;4;1;4;0;913625
Suranga Lakmal;5;0;21;0;4.20;17;1;0;2;0;913625
Suraj Randiv;8;0;62;0;7.75;16;3;3;0;0;913625
Nuwan Pradeep;4;0;31;0;7.75;10;3;1;1;0;913625
Seekkuge Prasanna;8.1;0;78;0;9.55;13;5;5;1;0;913625
Danushka Gunathilaka;2;0;14;0;7.00;3;1;0;0;0;913625
Suranga Lakmal;2;0;8;1;4.00;8;1;0;0;0;913627
Angelo Mathews;2;0;8;0;4.00;6;0;0;0;0;913627
Suranga Lakmal;7;0;48;1;6.86;15;5;0;0;0;913629
Nuwan Pradeep;9;0;78;2;8.67;19;8;2;2;0;913629
Angelo Mathews;3;0;17;0;5.67;11;3;0;0;0;913629
Farveez Maharoof;8;0;58;0;7.25;12;3;1;1;0;913629
Dasun Shanaka;1;0;12;0;12.00;1;2;0;0;0;913629
Seekkuge Prasanna;7.1;0;61;0;8.51;10;4;1;4;0;913629
Danushka Gunathilaka;5;0;30;1;6.00;9;2;0;0;0;913629
Suranga Lakmal;10;0;65;1;6.50;27;5;2;1;0;913631
Chaminda Bandara;10;0;83;1;8.30;21;11;0;1;0;913631
Nuwan Pradeep;8;0;59;1;7.38;17;7;0;0;0;913631
Danushka Gunathilaka;10;0;48;3;4.80;26;3;0;1;0;913631
Seekkuge Prasanna;10;0;52;0;5.20;20;1;1;1;0;913631
Kusal Mendis;2;0;13;0;6.50;4;1;0;0;0;913631
Angelo Mathews;7;0;33;0;4.71;24;2;1;1;0;995457
Tillakaratne Dilshan;3.5;0;25;0;6.52;12;2;1;1;0;995457
Thisara Perera;5;1;25;1;5.00;17;3;0;0;0;995457
Amila Aponso;10;1;27;1;2.70;39;0;0;2;0;995457
Milinda Siriwardana;6;0;34;0;5.67;18;4;0;0;0;995457
Dilruwan Perera;10;0;48;3;4.80;26;2;0;3;0;995457
Lakshan Sandakan;5;0;33;2;6.60;13;3;0;2;0;995457
Angelo Mathews;6;0;17;2;2.83;25;1;0;0;0;995459
Thisara Perera;5;0;33;3;6.60;14;4;0;0;0;995459
Amila Aponso;9.2;0;18;4;1.93;42;0;0;1;0;995459
Seekkuge Prasanna;8;1;48;1;6.00;23;3;0;3;0;995459
Dilruwan Perera;10;0;43;0;4.30;31;2;0;1;0;995459
Tillakaratne Dilshan;5;0;23;0;4.60;13;1;0;0;0;995459
Dhananjaya de Silva;4;0;20;0;5.00;10;1;0;0;0;995459
Angelo Mathews;7;0;30;2;4.29;23;3;0;0;0;995461
Thisara Perera;2;0;18;0;9.00;3;2;0;2;0;995461
Amila Aponso;10;0;44;2;4.40;38;5;1;1;0;995461
Dilruwan Perera;10;0;45;2;4.50;34;4;0;1;0;995461
Tillakaratne Dilshan;4;0;24;0;6.00;10;3;0;0;0;995461
Seekkuge Prasanna;9;0;39;1;4.33;25;0;1;2;0;995461
Dhananjaya de Silva;4;0;21;1;5.25;11;2;0;0;0;995461
Thisara Perera;3;1;24;0;8.00;10;3;1;0;0;995463
Amila Aponso;8;0;59;0;7.38;22;10;0;1;0;995463
Dilruwan Perera;7;0;69;1;9.86;14;6;3;0;1;995463
Sachith Pathirana;8;0;37;3;4.63;32;4;1;1;0;995463
Dhananjaya de Silva;4;0;21;0;5.25;9;0;0;0;0;995463
Angelo Perera;1;0;5;0;5.00;4;1;0;0;0;995463
Suranga Lakmal;8;1;30;0;3.75;31;2;0;3;0;995465
Dilruwan Perera;10;1;51;3;5.10;30;4;0;1;0;995465
Sachith Pathirana;10;0;36;0;3.60;29;0;0;1;0;995465
Dasun Shanaka;2;0;10;0;5.00;7;1;0;0;0;995465
Amila Aponso;6;0;33;0;5.50;19;4;0;0;0;995465
Dhananjaya de Silva;7;0;35;2;5.00;20;4;0;0;0;995465
Nuwan Kulasekara;8;2;23;2;2.88;39;1;1;1;0;1059710
Suranga Lakmal;7;0;19;2;2.71;30;2;0;0;0;1059710
Sachith Pathirana;10;0;44;1;4.40;30;0;2;1;0;1059710
Nuwan Pradeep;7;1;21;2;3.00;32;2;0;3;0;1059710
Shehan Jayasuriya;3;0;24;0;8.00;7;1;2;0;0;1059710
Asela Gunaratne;6.3;1;21;3;3.23;26;2;0;1;0;1059710
Nuwan Kulasekara;10;1;37;2;3.70;39;4;0;3;0;1059711
Suranga Lakmal;9.2;1;45;2;4.82;32;2;1;0;0;1059711
Nuwan Pradeep;10;1;55;2;5.50;34;4;2;2;0;1059711
Shehan Jayasuriya;4;0;19;0;4.75;9;1;0;0;0;1059711
Sachith Pathirana;6;0;25;1;4.17;19;0;1;0;0;1059711
Asela Gunaratne;10;1;40;1;4.00;35;1;2;0;0;1059711
Nuwan Kulasekara;5;0;17;1;3.40;22;2;0;3;0;1059713
Suranga Lakmal;4;1;14;0;3.50;18;2;0;0;0;1059713
Dasun Shanaka;2;0;5;0;2.50;9;0;0;1;0;1059713
Dhananjaya de Silva;1;0;4;0;4.00;2;0;0;0;0;1059713
Sachith Pathirana;1.3;0;10;0;6.67;3;1;0;0;0;1059713
Nuwan Kulasekara;10;0;73;2;7.30;27;4;3;3;0;1059714
Suranga Lakmal;10;0;67;2;6.70;28;9;0;3;0;1059714
Shehan Jayasuriya;4;0;20;0;5.00;10;1;0;1;0;1059714
Nuwan Pradeep;10;0;65;1;6.50;27;3;3;3;0;1059714
Sachith Pathirana;7;0;51;0;7.29;16;4;2;0;0;1059714
Asela Gunaratne;9;0;47;1;5.22;21;3;0;1;0;1059714
Nuwan Kulasekara;7;0;30;1;4.29;27;3;0;4;0;1059716
Suranga Lakmal;6;0;23;1;3.83;24;2;0;1;0;1059716
Sachith Pathirana;7;0;26;2;3.71;22;2;0;0;0;1059716
Dasun Shanaka;2;0;18;0;9.00;5;3;0;0;0;1059716
Jeffrey Vandersay;10;0;50;3;5.00;32;3;1;1;1;1059716
Asela Gunaratne;4.3;0;10;3;2.22;18;0;0;0;0;1059716
Nuwan Kulasekara;5;0;20;0;4.00;15;1;0;0;0;936159
Suranga Lakmal;6;1;29;0;4.83;20;4;0;1;0;936159
Dhananjaya de Silva;2;0;9;0;4.50;3;0;0;0;0;936159
Jeffrey Vandersay;7;0;51;0;7.29;19;5;2;0;0;936159
Lakshan Sandakan;8;0;35;1;4.38;27;4;0;1;0;936159
Asela Gunaratne;5;0;19;1;3.80;15;1;0;0;0;936159
Kusal Mendis;1.2;0;15;0;11.25;2;2;0;0;0;936159
Nuwan Kulasekara;10;0;76;1;7.60;23;6;3;1;0;936161
Suranga Lakmal;7;0;54;2;7.71;15;4;2;3;0;936161
Dhananjaya de Silva;8;0;42;1;5.25;18;0;2;0;0;936161
Chaturanga de Silva;4;0;23;0;5.75;11;2;0;0;0;936161
Lakshan Sandakan;10;0;51;1;5.10;19;2;0;1;0;936161
Sachith Pathirana;4;0;19;1;4.75;12;0;1;0;0;936161
Asela Gunaratne;7;0;37;0;5.29;17;1;1;0;0;936161
Suranga Lakmal;6;1;23;0;3.83;26;4;0;1;0;936163
Lahiru Kumara;8;0;49;1;6.13;26;4;1;5;1;936163
Lahiru Madushanka;4;0;15;1;3.75;13;1;0;0;0;936163
Lakshan Sandakan;6;0;33;0;5.50;18;3;0;1;0;936163
Sachith Pathirana;7;0;35;0;5.00;16;2;0;1;0;936163
Dhananjaya de Silva;1;0;8;0;8.00;1;1;0;0;0;936163
Nuwan Kulasekara;10;0;74;0;7.40;21;7;2;1;0;936165
Lahiru Kumara;7;0;73;2;10.43;14;11;2;0;0;936165
Lahiru Madushanka;10;0;69;1;6.90;19;5;1;2;1;936165
Dhananjaya de Silva;3;0;18;0;6.00;8;2;0;0;0;936165
Lakshan Sandakan;8;0;62;0;7.75;11;4;1;0;0;936165
Sachith Pathirana;10;0;55;2;5.50;14;2;0;1;0;936165
Asela Gunaratne;2;0;16;0;8.00;3;2;0;0;0;936165
Suranga Lakmal;10;0;71;3;7.10;27;9;1;4;0;936167
Lahiru Kumara;7;0;60;0;8.57;20;6;3;0;1;936167
Lahiru Madushanka;8;0;70;2;8.75;12;6;3;0;0;936167
Dhananjaya de Silva;4;0;24;0;6.00;7;2;0;0;0;936167
Sachith Pathirana;6;1;43;0;7.17;13;5;1;0;0;936167
Jeffrey Vandersay;10;0;61;1;6.10;15;3;0;1;0;936167
Asela Gunaratne;5;0;46;0;9.20;7;5;1;1;0;936167
Suranga Lakmal;8;0;45;2;5.63;30;6;1;0;0;1083446
Lahiru Kumara;8;0;74;1;9.25;18;9;2;3;0;1083446
Thisara Perera;8;0;63;0;7.88;20;9;1;0;0;1083446
Sachith Pathirana;5;0;27;0;5.40;13;1;0;2;0;1083446
Lakshan Sandakan;8;0;43;1;5.38;27;5;0;3;0;1083446
Asela Gunaratne;10;0;40;1;4.00;28;1;0;1;0;1083446
Danushka Gunathilaka;3;0;22;0;7.33;6;3;0;0;0;1083446
Nuwan Kulasekara;7.3;0;37;4;4.93;27;6;0;0;0;1083448
Suranga Lakmal;8;0;38;2;4.75;26;4;0;4;0;1083448
Dilruwan Perera;10;1;47;2;4.70;36;2;1;2;0;1083448
Thisara Perera;2;0;14;0;7.00;5;2;0;0;0;1083448
Asela Gunaratne;2;0;16;0;8.00;2;2;0;0;0;1083448
Seekkuge Prasanna;10;1;33;2;3.30;38;2;0;3;0;1083448
Milinda Siriwardana;5;1;23;0;4.60;17;3;0;0;0;1083448
Lasith Malinga;10;0;57;0;5.70;27;5;0;5;0;1022351
Suranga Lakmal;10;0;51;1;5.10;33;5;0;2;0;1022351
Nuwan Pradeep;10;0;54;2;5.40;31;5;1;1;0;1022351
Asela Gunaratne;10;0;64;0;6.40;12;1;1;1;0;1022351
Seekkuge Prasanna;10;0;72;1;7.20;21;6;2;1;0;1022351
Lasith Malinga;10;0;70;2;7.00;28;9;1;1;0;1022361
Suranga Lakmal;10;1;72;1;7.20;29;8;2;3;0;1022361
Nuwan Pradeep;10;0;73;1;7.30;23;7;1;2;0;1022361
Thisara Perera;9;0;54;1;6.00;27;2;4;0;0;1022361
Danushka Gunathilaka;8;0;41;0;5.13;24;5;0;0;0;1022361
Asela Gunaratne;3;0;7;1;2.33;11;0;0;0;0;1022361
Lasith Malinga;9.5;2;52;1;5.29;34;5;1;4;0;1022369
Suranga Lakmal;10;0;48;1;4.80;35;6;0;2;0;1022369
Nuwan Pradeep;10;0;60;3;6.00;30;5;1;3;0;1022369
Thisara Perera;8;0;43;1;5.38;27;2;1;4;0;1022369
Asela Gunaratne;5;0;19;0;3.80;17;2;0;0;0;1022369
Danushka Gunathilaka;1;0;2;0;2.00;4;0;0;0;0;1022369
Dhananjaya de Silva;1;0;3;0;3.00;3;0;0;0;0;1022369
Lasith Malinga;9;0;51;1;5.67;31;5;0;3;1;1104478
Nuwan Pradeep;9;1;52;0;5.78;25;5;0;0;0;1104478
Akila Dananjaya;10;0;61;1;6.10;28;7;0;1;0;1104478
Amila Aponso;8.4;0;77;0;8.88;16;8;1;3;0;1104478
Danushka Gunathilaka;2;0;13;0;6.50;4;1;0;1;0;1104478
Lahiru Madushanka;2;0;18;0;9.00;4;3;0;1;0;1104478
Asela Gunaratne;7;0;45;2;6.43;16;5;0;0;0;1104478
Lasith Malinga;3;1;17;0;5.67;14;4;0;0;1;1104479
Nuwan Pradeep;7;0;18;1;2.57;32;2;0;0;0;1104479
Dushmantha Chameera;5;0;23;0;4.60;21;4;0;2;0;1104479
Lakshan Sandakan;10;0;52;4;5.20;34;6;0;2;1;1104479
Asela Gunaratne;5;0;15;1;3.00;18;1;0;0;0;1104479
Danushka Gunathilaka;1;0;9;1;9.00;2;1;0;0;0;1104479
PWH de Silva;2.4;0;15;3;5.63;8;2;0;0;0;1104479
Lasith Malinga;9;0;71;1;7.89;21;7;1;2;1;1104480
Nuwan Pradeep;6;1;28;1;4.67;25;4;0;1;0;1104480
Dushmantha Chameera;7;0;34;0;4.86;23;4;0;0;0;1104480
Lakshan Sandakan;10;0;73;1;7.30;26;5;3;3;0;1104480
PWH de Silva;7;0;44;2;6.29;17;4;0;1;0;1104480
Asela Gunaratne;10;1;53;2;5.30;26;4;1;0;0;1104480
Danushka Gunathilaka;1;0;5;0;5.00;4;1;0;0;0;1104480
Lasith Malinga;4;1;18;0;4.50;18;1;1;0;0;1104481
Asitha Fernando;2;0;22;0;11.00;5;3;1;0;0;1104481
Dushmantha Chameera;5;0;32;1;6.40;18;6;0;1;0;1104481
Asela Gunaratne;7;0;41;1;5.86;18;4;1;0;0;1104481
PWH de Silva;6;0;40;3;6.67;15;5;0;0;0;1104481
Lakshan Sandakan;3.2;0;45;1;13.50;4;6;0;3;0;1104481
Danushka Gunathilaka;2;0;16;0;8.00;4;2;0;0;0;1104481
Lasith Malinga;10;0;44;2;4.40;34;4;0;1;1;1104482
Nuwan Kulasekara;3;0;25;0;8.33;11;4;1;1;0;1104482
Asela Gunaratne;4;0;23;1;5.75;9;2;0;0;0;1104482
